Industry,Year,Interns_Intake,Conversion_Rate,Top_Skills
IT,2022,1005,0.41,"Java, AI/ML, Python"
IT,2023,1092,0.42,"AI/ML, Python, Cloud"
IT,2024,1168,0.42,"Python, React, Java"
IT,2025,1349,0.42,"AI/ML, Python, Java"
IT,2026,1512,0.46,"React, Python, Cloud"
Healthcare,2022,539,0.31,"Radiology, Surgery, Admin"
Healthcare,2023,542,0.36,"Nursing, Radiology, Patient Care"
Healthcare,2024,525,0.37,"Admin, Nursing, Patient Care"
Healthcare,2025,575,0.3,"Patient Care, Admin, Surgery"
Healthcare,2026,607,0.31,"Patient Care, Nursing, Surgery"
Manufacturing,2022,518,0.34,"Quality Control, CAD, Supply Chain"
Manufacturing,2023,517,0.29,"CAD, Robotics, Quality Control"
Manufacturing,2024,566,0.33,"CAD, Safety, Quality Control"
Manufacturing,2025,529,0.29,"Supply Chain, Safety, Quality Control"
Manufacturing,2026,617,0.3,"Safety, Supply Chain, Robotics"
EV,2022,483,0.27,"Battery Tech, Thermal Analysis, Embedded Systems"
EV,2023,548,0.31,"Battery Tech, Thermal Analysis, Auto Design"
EV,2024,647,0.25,"Battery Tech, Auto Design, Power Electronics"
EV,2025,623,0.24,"Embedded Systems, Auto Design, Power Electronics"
EV,2026,750,0.24,"Thermal Analysis, Power Electronics, Embedded Systems"
Finance,2022,507,0.47,"Excel, Risk Management, Compliance"
Finance,2023,519,0.45,"Financial Analysis, Excel, Compliance"
Finance,2024,595,0.44,"Excel, Accounting, Risk Management"
Finance,2025,586,0.37,"Compliance, Accounting, Risk Management"
Finance,2026,644,0.46,"Risk Management, Accounting, Compliance"
